category_id,views,likes,comments,duration_sec,subscriber_count
20,1409321,31517,252,697.0,1250000.0
28,6589901,236551,9035,667.0,16600000.0
25,1527301,22102,1838,293.0,9260000.0
22,234584,18848,1103,349.0,5550000.0
10,101811893,679505,58712,313.0,652000.0
26,117209,2878,483,1003.0,2300000.0
15,255843,5807,380,333.0,14200000.0
27,2267060,52752,1045,827.0,2930000.0
2,1044760,11789,786,2600.0,185000.0
19,1892242,38420,2257,2120.0,3820000.0
17,3520205,39367,1466,1682.0,818000.0
29,126994,1768,83,345.0,178000.0
23,1865085,20170,1257,519.0,5180000.0
24,6146362,22474,0,602.0,4020000.0
28,3750466,31819,1846,1140.0,1430000.0
1,1752797,43584,2090,337.0,5300000.0
17,876727,29537,1541,647.0,290000.0
22,4338440,82712,982,1041.0,11000000.0
19,281262,4124,334,1674.0,213000.0
24,20295089,121729,0,319.0,5570000.0
25,3107496,33192,3397,410.0,1420000.0
22,2586064,36649,909,296.0,7300000.0
20,586018,11858,470,519.0,1490000.0
27,759826,29671,1888,858.0,2930000.0
22,875846,14477,281,410.0,27000000.0
22,483503,59084,2543,714.0,3830.0
24,10347433,295667,16140,518.0,6980000.0
20,12197822,305258,53244,891.0,19600000.0
27,1106580,18364,537,1120.0,37700.0
28,134642,2727,161,576.0,238000.0
22,6054725,317432,4773,873.0,964000.0
24,21907363,216712,24781,279.0,21800000.0
27,985660,30427,2351,2498.0,950000.0
24,11306619,110169,15816,918.0,19100000.0
17,15839193,52747,722,470.0,3160000.0
28,1042942,11238,758,531.0,43900000.0
17,4955308,77713,1593,715.0,1430000.0
17,552040,7664,1169,711.0,6220000.0
22,689783,27164,963,259.0,1980000.0
22,5140743,101036,0,914.0,17900000.0
23,17515631,1298853,55108,835.0,25000000.0
26,2211730,107861,3377,841.0,8270000.0
29,1735671,40811,14750,2194.0,401000.0
28,169107,7136,707,282.0,7090000.0
20,998886,9103,1206,790.0,428000.0
22,798060,25569,814,352.0,72000.0
27,844661,9745,0,393.0,7000000.0
19,461265,7209,184,583.0,27000000.0
28,2096684,43832,3014,765.0,5710000.0
24,5639538,104883,3538,765.0,10600000.0
28,7111722,456790,31134,900.0,16600000.0
23,2739662,142608,3964,390.0,7220000.0
27,1658351,72490,3959,1838.0,949000.0
24,3544471,19006,4980,976.0,838000.0
17,1241823,14360,1455,312.0,23700000.0
20,24811,759,256,624.0,323000.0
27,3020862,25215,2123,451.0,109000.0
15,1615536,31153,2560,731.0,21800000.0
10,68872299,1077638,78633,243.0,79000000.0
28,3380014,129719,10515,686.0,16600000.0
23,33277657,496748,48086,734.0,20600000.0
22,4556425,239785,13938,863.0,2560000.0
28,507114,5767,493,747.0,26900000.0
22,4475328,201819,14510,1045.0,3360000.0
25,483323,4613,1243,2542.0,979000.0
26,177465351,667393,20687,605.0,10100000.0
24,212751,6547,448,542.0,949000.0
1,5557720,38548,562,601.0,10800000.0
28,137711,2258,38,264.0,11500.0
19,1561101,30144,1657,256.0,526000.0
25,276606,1722,1053,266.0,11600000.0
2,1516007,33633,8824,1458.0,5030000.0
22,2026554,87660,5495,2396.0,4210000.0
25,356348,4101,1275,487.0,9370000.0
20,4905408,81747,1328,609.0,13500.0
17,3109543,56520,7273,1683.0,404000.0
24,978863,67518,1603,273.0,17500000.0
22,6158578,92276,3161,674.0,7400000.0
17,7408672,219615,5371,287.0,5340000.0
